Versuch,Time [ms],Weight [g], Height [cm]
1,412,15,150
2,488,15,150
3,441,15,150
4,440,15,150
5,410,15,150
6,519,102.58,150
7,376,102.58,150
8,517,102.58,150
9,411,102.58,150
10,442,102.58,150
11,552,102.58,150
12,549,102.58,150
13,707,55.6,150
14,369,55.6,150
15,505,103.87,135
16,175,103.87,135
17,302,103.87,135
18,105,103.87,135
19,146,103.87,135
20,919,103.87,135
21,932,103.87,135
22,670,103.87,135
23,858,103.87,135
24,735,103.87,135
25,431,103.87,135
26,636,103.87,135
27,780,103.87,135
28,428,103.87,135
29,636,103.87,135
30,638,103.87,135
31,639,103.87,135
32,661,103.87,135
33,614,103.87,135
34,431,103.87,135
35,432,103.87,135
36,610,103.87,135
37,616,103.87,135
38,425,103.87,135
39,533,103.87,135
40,461,103.87,135
41,389,103.87,135
42,,103.87,135